Date,Open,High,Low,Close,Adj Close,Volume
2008-09-18,211.531525,219.809814,205.455460,219.759766,219.759766,17161600
2008-09-19,230.730728,231.266266,221.861862,224.799805,224.799805,19991900
2008-09-22,227.292297,227.292297,214.714722,215.285278,215.285278,8805700
2008-09-23,216.841843,220.615616,213.073074,214.849854,214.849854,10397900
2008-09-24,215.385391,222.722717,215.270264,217.772766,217.772766,8475500
2008-09-25,219.639633,225.225220,218.208206,220.020020,220.020020,10030500
2008-09-26,214.214218,218.798798,210.725723,215.735733,215.735733,10574400
2008-09-29,209.964966,211.966965,190.545547,190.690689,190.690689,21504200
2008-09-30,198.188187,212.752747,196.356354,200.460464,200.460464,6166400
2008-10-01,205.780777,208.698700,201.751755,206.066071,206.066071,12457100
2008-10-02,205.100098,205.195190,193.193192,195.440445,195.440445,11957800
2008-10-03,198.873871,206.456451,191.726730,193.648651,193.648651,15969800
2008-10-06,187.177170,188.183182,178.758759,185.790787,185.790787,22418700
2008-10-07,186.851852,187.677673,172.857864,173.178177,173.178177,22086600
2008-10-08,165.245239,179.674667,163.218216,169.224228,169.224228,23629100
2008-10-09,172.432434,174.459457,160.996002,164.654648,164.654648,16133800
2008-10-10,156.736740,171.116119,155.305298,166.166168,166.166168,21174400
2008-10-13,178.073074,191.166168,173.048050,190.700699,190.700699,17793100
2008-10-14,196.961960,197.447449,178.678680,181.536530,181.536530,15554000
2008-10-15,177.502502,179.679672,169.584579,169.754761,169.754761,13429300
2008-10-16,166.546539,178.428421,154.874878,176.686691,176.686691,32446900
2008-10-17,189.669662,193.193192,181.956955,186.456451,186.456451,28469900
2008-10-20,190.065063,190.680679,179.974976,189.849854,189.849854,13493200
2008-10-21,186.381378,192.082077,181.181183,181.556549,181.556549,11552400
2008-10-22,178.673676,185.030029,172.172165,178.013016,178.013016,13106800
2008-10-23,177.001999,179.179184,169.164169,176.336334,176.336334,12944800
2008-10-24,163.398392,175.410416,162.532532,169.814819,169.814819,14703200
2008-10-27,167.572571,171.671677,162.962967,164.909912,164.909912,12388900
2008-10-28,169.694702,184.839844,164.419418,184.559555,184.559555,16194500
2008-10-29,183.078079,185.685684,176.361359,179.179184,179.179184,19493600
2008-10-30,184.414413,186.186188,179.364365,180.025024,180.025024,15961800
2008-10-31,178.258255,186.166168,177.312317,179.859863,179.859863,14831700
2008-11-03,178.968964,181.676682,170.885880,173.418411,173.418411,11897000
2008-11-04,176.896896,186.366364,172.922928,183.653656,183.653656,14685100
2008-11-05,181.256256,184.624619,170.825821,171.291290,171.291290,13879100
2008-11-06,170.155151,172.382385,163.068069,165.775772,165.775772,17132400
2008-11-07,166.726730,170.745743,162.827835,165.735733,165.735733,9353200
2008-11-10,164.164169,164.884888,154.889893,159.549545,159.549545,16144000
2008-11-11,154.499496,158.308304,150.410416,155.885880,155.885880,20272900
2008-11-12,151.176178,156.401398,144.024017,145.645645,145.645645,20082000
2008-11-13,146.031036,156.656662,140.140137,156.196198,156.196198,26442900
2008-11-14,151.776779,162.657654,151.431427,155.165161,155.165161,19015100
2008-11-17,151.651657,155.235229,149.124130,150.210205,150.210205,15072500
2008-11-18,150.935928,152.017014,142.817825,148.858856,148.858856,16675500
2008-11-19,147.842850,150.245239,139.429428,140.230225,140.230225,15653500
2008-11-20,137.582581,141.611618,129.649643,129.909912,129.909912,19539200
2008-11-21,131.386383,134.819824,123.773773,131.346344,131.346344,20468500
2008-11-24,134.764771,135.110107,124.629631,128.848846,128.848846,20089200
2008-11-25,134.474472,143.473480,133.793793,141.166168,141.166168,21520800
2008-11-26,140.280273,147.877884,138.238235,146.191193,146.191193,12700400
2008-11-28,145.435440,148.373367,144.284286,146.626633,146.626633,5125800
2008-12-01,143.483490,143.833832,133.123123,133.128128,133.128128,11410900
2008-12-02,135.000000,139.029022,131.421417,137.692688,137.692688,11667700
2008-12-03,135.060059,140.820816,132.802795,139.854858,139.854858,11797700
2008-12-04,138.403397,141.886887,134.519516,137.307312,137.307312,9763400
2008-12-05,135.645645,142.262268,132.142136,142.137131,142.137131,13029300
2008-12-08,145.140137,154.874878,141.141144,151.206207,151.206207,16272300
2008-12-09,148.993988,159.159164,148.653656,153.138138,153.138138,13766000
2008-12-10,154.774780,157.607605,152.407410,154.564560,154.564560,10463500
2008-12-11,152.237244,156.596603,149.049042,150.260254,150.260254,12346000
2008-12-12,148.003006,158.393387,147.147141,158.038040,158.038040,11432700
2008-12-15,157.162155,159.404404,152.707703,155.490494,155.490494,13462300
2008-12-16,157.417419,164.914917,155.790787,162.802795,162.802795,14105000
2008-12-17,159.479477,161.226227,156.366364,157.777771,157.777771,11567800
2008-12-18,158.508514,160.335342,154.709717,155.295288,155.295288,9517400
2008-12-19,155.650650,159.054047,154.654648,155.240234,155.240234,11213900
2008-12-22,154.434433,154.904907,145.460464,148.703705,148.703705,7827300
2008-12-23,150.365372,151.806808,148.483490,149.159164,149.159164,7547800
2008-12-24,150.890884,153.323318,149.339340,151.626633,151.626633,3839100
2008-12-26,152.187180,152.782776,149.304306,150.330338,150.330338,3914200
2008-12-29,150.260254,150.840836,145.935928,148.858856,148.858856,7396300
2008-12-30,150.550552,153.558563,149.504501,151.706711,151.706711,7679300
